A,B,C,D
1,34,35.03,40
2,5,44.08,-17.93
3,31,53.32,34.37
4,36,62.02,44.07
5,7,71.14,-13.68
6,13,80.33,-1.72
7,9,89.27,-9.65
8,8,98.35,-11.7
9,30,107.23,32.28
10,25,116.17,22.08
11,24,125.36,20.31
12,31,134.13,34.27
13,14,143.15,0.13
14,24,152,20.03
15,12,161.02,-3.95
16,13,170.03,-1.9
17,37,179.11,46.29
18,11,188.07,-6.02
19,39,197.08,50.28
20,4,206.21,-19.64
21,4,215.18,-19.89
22,37,224.06,46.27
23,16,233.09,4.03
24,35,242.27,42.22
25,26,251.1,24.31
26,37,260.33,46.11
27,32,269.37,36.18
28,4,278.27,-20
29,35,287.28,42.32
30,33,296.36,38.07
31,34,305.03,40.03
32,37,314.04,46.35
33,25,323.13,22.35
34,5,332.11,-17.8
35,15,341.24,2.26
36,9,350.1,-9.9
37,19,359.22,10.3
38,29,368.07,30.25
39,10,376.99,-7.66
40,0,386.04,-27.96
41,5,395.23,-17.79
42,7,404.05,-13.74
43,25,413.25,22.33
44,21,422.36,14.33
45,24,431.23,20.13
46,4,440.16,-19.9
47,37,449.24,46.14
48,38,458.3,48.36
49,34,467.08,40.3
50,1,476.09,-25.87
51,10,484.99,-7.91
52,18,494.36,8.33
53,1,503.17,-25.63
54,34,512.05,40.13
55,10,521.28,-7.65
56,38,530.09,48.31
57,27,539.28,26.34
58,22,548.15,16.14
59,22,557.17,16.24
60,33,566.11,38.15
61,8,575.01,-12.02
62,17,584.23,6.19
63,15,593.15,2.17
64,17,602.06,6.3
65,28,611.19,28.08
66,22,620.19,16.1
67,19,629.05,10.29
68,13,637.98,-1.69
69,39,647.02,50.26
70,36,656.36,44.06
71,11,665.24,-5.74
72,21,674.04,14.05
73,6,683.32,-15.69
74,19,692.35,10.2
75,3,701.35,-21.68
76,15,710.29,2.24
77,7,719.17,-13.93
78,7,728.37,-13.84
79,10,737.09,-7.86
80,4,745.98,-20.02
81,8,755.13,-11.78
82,36,764.12,44.25
83,21,773.16,14.33
84,10,782.11,-7.63
85,24,791.24,20.16
86,34,800.07,40.35
87,22,809.09,16.09
88,27,818.25,26.14
89,18,827.2,8
90,35,836.2,42.36
91,35,845.3,42.13
92,30,854.34,32.2
93,14,863.13,0.03
94,27,872.2,26.01
95,11,881.27,-5.99
96,13,890.09,-1.79
97,26,899.29,24
98,0,908.23,-27.9
99,27,917,26.3
100,39,926.22,50.24
